time,tier,map,ban,matchid
1/8/2020 8:21:43 PM,23,Ranked Bazaar,Raum,922789327
1/8/2020 8:21:43 PM,23,Ranked Bazaar,Strix,922789327
1/8/2020 8:21:43 PM,23,Ranked Bazaar,Makoa,922789327
1/8/2020 8:21:43 PM,23,Ranked Bazaar,Androxus,922789327
2/9/2020 6:11:50 AM,23,Ranked Stone Keep,Koga,936046417
2/9/2020 6:11:50 AM,23,Ranked Stone Keep,Torvald,936046417
2/9/2020 6:11:50 AM,23,Ranked Stone Keep,Zhin,936046417
2/9/2020 6:11:50 AM,23,Ranked Stone Keep,Barik,936046417
2/5/2020 3:51:15 PM,23,Ranked Splitstone Quarry,Koga,934607075
2/5/2020 3:51:15 PM,23,Ranked Splitstone Quarry,Bomb King,934607075
2/5/2020 3:51:15 PM,23,Ranked Splitstone Quarry,Torvald,934607075
2/5/2020 3:51:15 PM,23,Ranked Splitstone Quarry,Zhin,934607075
2/10/2020 11:56:38 PM,23,Ranked Ice Mines,Torvald,936754084
2/10/2020 11:56:38 PM,23,Ranked Ice Mines,Koga,936754084
2/10/2020 11:56:38 PM,23,Ranked Ice Mines,Bomb King,936754084
2/10/2020 11:56:38 PM,23,Ranked Ice Mines,Jenos,936754084
1/31/2020 4:06:40 PM,23,Ranked Ascension Peak,Strix,932554773
1/31/2020 4:06:40 PM,23,Ranked Ascension Peak,Torvald,932554773
1/31/2020 4:06:40 PM,23,Ranked Ascension Peak,Terminus,932554773
1/31/2020 4:06:40 PM,23,Ranked Ascension Peak,Zhin,932554773
1/16/2020 7:06:59 PM,23,Ranked Brightmarsh,Zhin,926386456
1/16/2020 7:06:59 PM,23,Ranked Brightmarsh,Torvald,926386456
1/16/2020 7:06:59 PM,23,Ranked Brightmarsh,Makoa,926386456
1/16/2020 7:06:59 PM,23,Ranked Brightmarsh,Bomb King,926386456
1/17/2020 7:11:07 AM,23,Ranked Brightmarsh,Torvald,926588238
1/17/2020 7:11:07 AM,23,Ranked Brightmarsh,Tyra,926588238
1/17/2020 7:11:07 AM,23,Ranked Brightmarsh,Zhin,926588238
1/17/2020 7:11:07 AM,23,Ranked Brightmarsh,Raum,926588238
1/2/2020 6:41:46 PM,23,Ranked Jaguar Falls,Atlas,920487464
1/2/2020 6:41:46 PM,23,Ranked Jaguar Falls,Skye,920487464
1/2/2020 6:41:46 PM,23,Ranked Jaguar Falls,Willo,920487464
1/2/2020 6:41:46 PM,23,Ranked Jaguar Falls,Vivian,920487464
2/2/2020 9:52:42 AM,23,Ranked Ascension Peak,Bomb King,933414861
2/2/2020 9:52:42 AM,23,Ranked Ascension Peak,Torvald,933414861
2/2/2020 9:52:42 AM,23,Ranked Ascension Peak,Strix,933414861
2/2/2020 9:52:42 AM,23,Ranked Ascension Peak,Zhin,933414861
1/15/2020 8:07:40 PM,23,Ranked Brightmarsh,Strix,926027967
1/15/2020 8:07:40 PM,23,Ranked Brightmarsh,Torvald,926027967
1/15/2020 8:07:40 PM,23,Ranked Brightmarsh,Makoa,926027967
1/15/2020 8:07:40 PM,23,Ranked Brightmarsh,Zhin,926027967
1/19/2020 4:30:33 AM,23,Ranked Bazaar,Koga,927507525
1/19/2020 4:30:33 AM,23,Ranked Bazaar,Zhin,927507525
1/19/2020 4:30:33 AM,23,Ranked Bazaar,Raum,927507525
1/19/2020 4:30:33 AM,23,Ranked Bazaar,Strix,927507525
1/31/2020 7:31:40 AM,23,Ranked Serpent Beach,Drogoz,932440540
1/31/2020 7:31:40 AM,23,Ranked Serpent Beach,Torvald,932440540
1/31/2020 7:31:40 AM,23,Ranked Serpent Beach,Evie,932440540
1/31/2020 7:31:40 AM,23,Ranked Serpent Beach,Strix,932440540
1/28/2020 9:37:53 PM,23,Ranked Splitstone Quarry,Androxus,931569583
1/28/2020 9:37:53 PM,23,Ranked Splitstone Quarry,Strix,931569583
1/28/2020 9:37:53 PM,23,Ranked Splitstone Quarry,Koga,931569583
1/28/2020 9:37:53 PM,23,Ranked Splitstone Quarry,Kinessa,931569583
1/17/2020 11:07:44 PM,24,Ranked Frog Isle,Torvald,926879127
1/17/2020 11:07:44 PM,24,Ranked Frog Isle,Strix,926879127
1/17/2020 11:07:44 PM,24,Ranked Frog Isle,Willo,926879127
1/17/2020 11:07:44 PM,24,Ranked Frog Isle,Kinessa,926879127
1/9/2020 3:38:18 AM,24,Ranked Ice Mines,Torvald,922944544
1/9/2020 3:38:18 AM,24,Ranked Ice Mines,Jenos,922944544
1/9/2020 3:38:18 AM,24,Ranked Ice Mines,Makoa,922944544
1/9/2020 3:38:18 AM,24,Ranked Ice Mines,Willo,922944544
2/10/2020 2:18:41 PM,24,Ranked Jaguar Falls,Willo,936576081
2/10/2020 2:18:41 PM,24,Ranked Jaguar Falls,Koga,936576081
2/10/2020 2:18:41 PM,24,Ranked Jaguar Falls,Zhin,936576081
2/10/2020 2:18:41 PM,24,Ranked Jaguar Falls,Torvald,936576081
1/17/2020 10:51:34 AM,24,Ranked Stone Keep,Strix,926618601
1/17/2020 10:51:34 AM,24,Ranked Stone Keep,Torvald,926618601
1/17/2020 10:51:34 AM,24,Ranked Stone Keep,Willo,926618601
1/17/2020 10:51:34 AM,24,Ranked Stone Keep,Zhin,926618601
1/19/2020 7:46:20 PM,24,Ranked Stone Keep,Zhin,927825070
